tibetan_syllable	prefix	superscript	root_consonant	subjoined_consonants	vowel	suffix_coda	post_suffix	orthographic_stack	ambiguous_root_candidates	role_parse_status	role_parse_confidence	rationale
ལྟོས		ལ	ཏ		o	ས		ལཏ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྟཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ལྟྷ		ལ	ཏ	ཧ	a			ལཏཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡ		ལ	ད		a			ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡག		ལ	ད		a	ག		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡང		ལ	ད		a	ང		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡད		ལ	ད		a	ད		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡན		ལ	ད		a	ན		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡམ		ལ	ད		a	མ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡར		ལ	ད		a	ར		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡི		ལ	ད		i			ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡིག		ལ	ད		i	ག		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡིང		ལ	ད		i	ང		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡིངས		ལ	ད		i	ང	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡིབ		ལ	ད		i	བ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡིབས		ལ	ད		i	བ	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡིར		ལ	ད		i	ར		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུ		ལ	ད		u			ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུག		ལ	ད		u	ག		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུགས		ལ	ད		u	ག	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུད		ལ	ད		u	ད		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུམ		ལ	ད		u	མ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུར		ལ	ད		u	ར		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡུས		ལ	ད		u	ས		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེ		ལ	ད		e			ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེག		ལ	ད		e	ག		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེང		ལ	ད		e	ང		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེངས		ལ	ད		e	ང	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེབ		ལ	ད		e	བ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེབས		ལ	ད		e	བ	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེམ		ལ	ད		e	མ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡེའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ལྡེར		ལ	ད		e	ར		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོག		ལ	ད		o	ག		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོགས		ལ	ད		o	ག	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོང		ལ	ད		o	ང		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོངས		ལ	ད		o	ང	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོན		ལ	ད		o	ན		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོབ		ལ	ད		o	བ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོབས		ལ	ད		o	བ	ས	ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྡོམ		ལ	ད		o	མ		ལད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྣོད		ལ	ན		o	ད		ལན		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤགས		ལ	པ		a	ག	ས	ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤང		ལ	པ		a	ང		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤད		ལ	པ		a	ད		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤན		ལ	པ		a	ན		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤམ		ལ	པ		a	མ		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤའི		ལ	པ		i	འ		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤལ		ལ	པ		a	ལ		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤུ		ལ	པ		u			ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤེག		ལ	པ		e	ག		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤེམ		ལ	པ		e	མ		ལཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྤེའོ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ལྦ		ལ	བ		a			ལབ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྦལ		ལ	བ		a	ལ		ལབ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྦུ		ལ	བ		u			ལབ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩགས		ལ	ཙ		a	ག	ས	ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩང		ལ	ཙ		a	ང		ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩམ		ལ	ཙ		a	མ		ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩི		ལ	ཙ		i			ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩིད		ལ	ཙ		i	ད		ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩིབས		ལ	ཙ		i	བ	ས	ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩེ		ལ	ཙ		e			ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩེབ		ལ	ཙ		e	བ		ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩོག		ལ	ཙ		o	ག		ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྩོང		ལ	ཙ		o	ང		ལཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫ		ལ	ཛ		a			ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫག		ལ	ཛ		a	ག		ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫགས		ལ	ཛ		a	ག	ས	ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫང		ལ	ཛ		a	ང		ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫན		ལ	ཛ		a	ན		ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫི		ལ	ཛ		i			ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫིང		ལ	ཛ		i	ང		ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫིན		ལ	ཛ		i	ན		ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྫོད		ལ	ཛ		o	ད		ལཛ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྭ			ལ	ཝ	a			ལཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྭསྲ			ལ	ཝར	a	ས		ལཝར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྭེ			ལ	ཝ	e			ལཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྱ			ལ	ཡ	a			ལཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྱན			ལ	ཡ	a	ན		ལཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྱི			ལ	ཡ	i			ལཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྲང			ལ	ར	a	ང		ལར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྲའོ			ལ	ར	o	འ		ལར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྲར			ལ	ར	a	ར		ལར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྲི			ལ	ར	i			ལར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྲིབ			ལ	ར	i	བ		ལར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལླ			ལ	ལ	a			ལལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལླགས			ལ	ལ	a	ག	ས	ལལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལླསུ			ལ	ལ	u	ས		ལལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལླུ			ལ	ལ	u			ལལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷ		ལ	ཧ		a			ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷག		ལ	ཧ		a	ག		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷགས		ལ	ཧ		a	ག	ས	ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷང		ལ	ཧ		a	ང		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷངས		ལ	ཧ		a	ང	ས	ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷད		ལ	ཧ		a	ད		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷམ		ལ	ཧ		a	མ		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷའ		ལ	ཧ		a	འ		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷའི		ལ	ཧ		i	འ		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷར		ལ	ཧ		a	ར		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷས		ལ	ཧ		a	ས		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷུག		ལ	ཧ		u	ག		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷུང		ལ	ཧ		u	ང		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷུན		ལ	ཧ		u	ན		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷུམ		ལ	ཧ		u	མ		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷུར		ལ	ཧ		u	ར		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷེ		ལ	ཧ		e			ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷོགས		ལ	ཧ		o	ག	ས	ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷོད		ལ	ཧ		o	ད		ལཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ལྷྕགས		ལ	ཧ	ཅ	a	ག	ས	ལཧཅ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཤ			ཤ		a			ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤག			ཤ		a	ག		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤགས			ཤ		a	ག	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤང			ཤ		a	ང		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤངས			ཤ		a	ང	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤད			ཤ		a	ད		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤན			ཤ		a	ན		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤབ			ཤ		a	བ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤབས			ཤ		a	བ	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤབྱིག			བ	ཡ	i	ག		བཡ	ཤ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཤམ			ཤ		a	མ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤམས			ཤ		a	མ	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤམྦྷི			མ	བཧ	i			མབཧ	ཤ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཤའབྲིན			བ	ར	i	ན		བར	ཤ;འ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཤའི			ཤ		i	འ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤར			ཤ		a	ར		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤལ			ཤ		a	ལ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤཤན					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཤས			ཤ		a	ས		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཤཱཀྱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཤཱི					i					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཤཱུན					u					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཤི			ཤ		i			ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤིག			ཤ		i	ག		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤིང			ཤ		i	ང		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤིད			ཤ		i	ད		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤིའ			ཤ		i	འ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤིའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཤིལ			ཤ		i	ལ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤིས			ཤ		i	ས		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུ			ཤ		u			ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུག			ཤ		u	ག		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུགས			ཤ		u	ག	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུད			ཤ		u	ད		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུན			ཤ		u	ན		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུབས			ཤ		u	བ	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤུའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཤུལ			ཤ		u	ལ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེ			ཤ		e			ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེང			ཤ		e	ང		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེད			ཤ		e	ད		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེན			ཤ		e	ན		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཤེར			ཤ		e	ར		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེལ			ཤ		e	ལ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤེས			ཤ		e	ས		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོ			ཤ		o			ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོག			ཤ		o	ག		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོང			ཤ		o	ང		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོངས			ཤ		o	ང	ས	ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོད			ཤ		o	ད		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོན			ཤ		o	ན		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོབ			ཤ		o	བ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོམ			ཤ		o	མ		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོར			ཤ		o	ར		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤོས			ཤ		o	ས		ཤ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཤཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ཤཾང					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ཤཿ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ཤྐིག			ཤ	ཀ	i	ག		ཤཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཤྭ			ཤ	ཝ	a			ཤཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཤྱང			ཤ	ཡ	a	ང		ཤཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཤྲཱི					i					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཤྲི			ཤ	ར	i			ཤར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཤྲིང			ཤ	ར	i	ང		ཤར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཤྲཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ཤློ			ཤ	ལ	o			ཤལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ས			ས		a			ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སག			ས		a	ག		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སགས			ས		a	ག	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སང			ས		a	ང		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སངས			ས		a	ང	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སཊ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
སད			ས		a	ད		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སན			ས		a	ན		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སཔ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
སབ			ས		a	བ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སབས			ས		a	བ	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སམ			ས		a	མ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སམས			ས		a	མ	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སའ			ས		a	འ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སའི			ས		i	འ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སའུ			ས		u	འ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སར			ས		a	ར		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སརྦ		ར	བ		a			རབ	ས	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
སལ			ས		a	ལ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སས			ས		a	ས		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སསད			ས		a	ས	ད	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
སཱཀ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
སཱང					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
སཱན					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
སཱི					i					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
སཱུན					u					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
སི			ས		i			ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སིག			ས		i	ག		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སིང			ས		i	ང		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སིན			ས		i	ན		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སིམ			ས		i	མ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སིར			ས		i	ར		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སིལ			ས		i	ལ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུ			ས		u			ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུང			ས		u	ང		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུངས			ས		u	ང	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུད			ས		u	ད		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུན			ས		u	ན		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུབ			ས		u	བ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུབས			ས		u	བ	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུམ			ས		u	མ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུལ			ས		u	ལ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུས			ས		u	ས		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སུུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
སེ			ས		e			ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེཀས					e					unusual_stack	none	Consonant sequence does not match conservative role patterns.
སེག			ས		e	ག		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེང			ས		e	ང		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེཏོག										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
སེན			ས		e	ན		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེམས			ས		e	མ	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེའ			ས		e	འ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
སེར			ས		e	ར		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེལ			ས		e	ལ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེས			ས		e	ས		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སེེངྒེ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
སོ			ས		o			ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོག			ས		o	ག		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོགས			ས		o	ག	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོང			ས		o	ང		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོངས			ས		o	ང	ས	ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོད			ས		o	ད		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོན			ས		o	ན		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོམ			ས		o	མ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོར			ས		o	ར		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོལ			ས		o	ལ		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོས			ས		o	ས		ས		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
སོཿ					o					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
སཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
སཿ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
སྐ		ས	ཀ		a			སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐག		ས	ཀ		a	ག		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐགས		ས	ཀ		a	ག	ས	སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐང		ས	ཀ		a	ང		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐངས		ས	ཀ		a	ང	ས	སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐད		ས	ཀ		a	ད		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐན		ས	ཀ		a	ན		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐབ		ས	ཀ		a	བ		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐབས		ས	ཀ		a	བ	ས	སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐམ		ས	ཀ		a	མ		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐམས		ས	ཀ		a	མ	ས	སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐའི		ས	ཀ		i	འ		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐར		ས	ཀ		a	ར		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐལ		ས	ཀ		a	ལ		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
སྐས		ས	ཀ		a	ས		སཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
